program,strategy,category,source_tokens,baseline_tokens,optimized_tokens,baseline_efficiency,optimized_efficiency,improvement,compression_ratio,representation_length
simple_calc,hex_compression,compression,31,23,42,25.806451612903224,-35.483870967741936,-61.29032258064516,1.4791666666666667,71
simple_calc,run_length_encoding,compression,31,23,32,25.806451612903224,-3.225806451612903,-29.032258064516128,1.1875,57
simple_calc,dictionary_compression,compression,31,23,53,25.806451612903224,-70.96774193548387,-96.7741935483871,2.3333333333333335,112
simple_calc,base64_encoding,encoding,31,23,23,25.806451612903224,25.806451612903224,0.0,0.75,36
simple_calc,instruction_abbreviation,encoding,31,23,38,25.806451612903224,-22.58064516129032,-48.387096774193544,1.1875,57
simple_calc,token_aware_formatting,encoding,31,23,31,25.806451612903224,0.0,-25.806451612903224,1.1875,57
simple_calc,source_plus_opcodes,hybrid,31,23,54,25.806451612903224,-74.19354838709677,-100.0,2.4166666666666665,116
simple_calc,selective_conversion,hybrid,31,23,31,25.806451612903224,0.0,-25.806451612903224,1.625,78
simple_calc,hierarchical_representation,hybrid,31,23,50,25.806451612903224,-61.29032258064516,-87.09677419354838,2.2916666666666665,110
simple_calc,semantic_chunking,semantic,31,23,27,25.806451612903224,12.903225806451612,-12.903225806451612,1.0625,51
simple_calc,control_flow_annotation,semantic,31,23,27,25.806451612903224,12.903225806451612,-12.903225806451612,1.1458333333333333,55
simple_calc,register_abstraction,semantic,31,23,49,25.806451612903224,-58.06451612903226,-83.87096774193549,1.6041666666666667,77
loop_sum,hex_compression,compression,42,46,70,-9.523809523809524,-66.66666666666666,-57.14285714285713,0.9903846153846154,103
loop_sum,run_length_encoding,compression,42,46,61,-9.523809523809524,-45.23809523809524,-35.714285714285715,1.0865384615384615,113
loop_sum,dictionary_compression,compression,42,46,77,-9.523809523809524,-83.33333333333334,-73.80952380952382,1.6153846153846154,168
loop_sum,base64_encoding,encoding,42,46,49,-9.523809523809524,-16.666666666666664,-7.142857142857141,0.7307692307692307,76
loop_sum,instruction_abbreviation,encoding,42,46,72,-9.523809523809524,-71.42857142857143,-61.904761904761905,1.0673076923076923,111
loop_sum,token_aware_formatting,encoding,42,46,62,-9.523809523809524,-47.61904761904761,-38.09523809523809,1.1538461538461537,120
loop_sum,source_plus_opcodes,hybrid,42,46,88,-9.523809523809524,-109.52380952380953,-100.00000000000001,1.9326923076923077,201
loop_sum,selective_conversion,hybrid,42,46,71,-9.523809523809524,-69.04761904761905,-59.523809523809526,1.5865384615384615,165
loop_sum,hierarchical_representation,hybrid,42,46,58,-9.523809523809524,-38.095238095238095,-28.57142857142857,1.3173076923076923,137
loop_sum,semantic_chunking,semantic,42,46,54,-9.523809523809524,-28.57142857142857,-19.047619047619044,0.9423076923076923,98
loop_sum,control_flow_annotation,semantic,42,46,27,-9.523809523809524,35.714285714285715,45.23809523809524,0.625,65
loop_sum,register_abstraction,semantic,42,46,47,-9.523809523809524,-11.904761904761903,-2.3809523809523796,0.7019230769230769,73
factorial,hex_compression,compression,45,46,71,-2.2222222222222223,-57.77777777777777,-55.55555555555555,1.03125,99
factorial,run_length_encoding,compression,45,46,61,-2.2222222222222223,-35.55555555555556,-33.333333333333336,1.0833333333333333,104
factorial,dictionary_compression,compression,45,46,75,-2.2222222222222223,-66.66666666666666,-64.44444444444443,1.6458333333333333,158
factorial,base64_encoding,encoding,45,46,44,-2.2222222222222223,2.2222222222222223,4.444444444444445,0.7083333333333334,68
factorial,instruction_abbreviation,encoding,45,46,68,-2.2222222222222223,-51.11111111111111,-48.888888888888886,1.1145833333333333,107
factorial,token_aware_formatting,encoding,45,46,59,-2.2222222222222223,-31.11111111111111,-28.88888888888889,1.15625,111
factorial,source_plus_opcodes,hybrid,45,46,91,-2.2222222222222223,-102.22222222222221,-99.99999999999999,2.1354166666666665,205
factorial,selective_conversion,hybrid,45,46,62,-2.2222222222222223,-37.77777777777778,-35.55555555555556,1.3229166666666667,127
factorial,hierarchical_representation,hybrid,45,46,47,-2.2222222222222223,-4.444444444444445,-2.2222222222222223,1.0520833333333333,101
factorial,semantic_chunking,semantic,45,46,60,-2.2222222222222223,-33.33333333333333,-31.111111111111107,1.15625,111
factorial,control_flow_annotation,semantic,45,46,37,-2.2222222222222223,17.77777777777778,20.0,0.7604166666666666,73
factorial,register_abstraction,semantic,45,46,45,-2.2222222222222223,0.0,2.2222222222222223,0.7395833333333334,71
